"","NEAR_FID","NEAR_DIST","NEAR_RANK","key","SITE_NAME","GIS_AREA","EPA_ID","n"
"1",0,57623.7681365,2,"SUMMITVILLE MINE Summitville Mine Site Boundary","SUMMITVILLE MINE",677.54816198,"COD983778432",1
"2",0,63908.7078455,4,"LEE ACRES LANDFILL (USDOI) LEE ACRES LANDFILL (USDOI)","LEE ACRES LANDFILL (USDOI)",173.540306584,"NMD980750020",1
"3",0,83138.4851459,6,"CHEVRON QUESTA MINE CHEVRON QUESTA MINE (Molycorp Inc. Mine)","CHEVRON QUESTA MINE",3780.65056594,"NMD002899094",1
"4",0,97585.6367758,2,"NELSON TUNNEL/COMMODORE WASTE ROCK Kanawha","NELSON TUNNEL/COMMODORE WASTE ROCK",155.26994255,"CON000802630",1
"5",0,106977.229712,3,"BONITA PEAK MINING DISTRICT Bonita Peak","BONITA PEAK MINING DISTRICT",0.00717556,"CON000802497",1
"6",0,191776.728635,2,"SMELTERTOWN SITE Smeltertown Site OU 1 and 2 Boundary","SMELTERTOWN SITE",49.50006082,"COD983769738",1
"7",0,207855.689721,2,"STANDARD MINE Standard Mine Superfund Site Approx Site Boundary","STANDARD MINE",62.45052208,"CO0002378230",1
"8",0,208759.270281,3,"LINCOLN PARK Lincoln Park OU1 and OU2 Boundary","LINCOLN PARK",3979.99121484,"COD042167858",1
"9",0,232534.929463,4,"COLORADO SMELTER Colorado Smelter Preliminary Study Area Boundary","COLORADO SMELTER",768.73804919,"CON000802700",1
"10",0,241099.776288,2,"CALIFORNIA GULCH California Gulch SF Site Boundary w/ deleted areas","CALIFORNIA GULCH",11746.9754484,"COD980717938",1
"11",0,243429.223794,3,"SMUGGLER MOUNTAIN Smuggler Mountain Superfund Site Boundary","SMUGGLER MOUNTAIN",134.1477186,"COD980806277",1
"12",0,284818.447575,3,"EAGLE MINE Eagle Mine Site, OUs 1, 2 and 3","EAGLE MINE",580.90385081,"COD081961518",1
"13",0,307100.918427,3,"CENTRAL CITY, CLEAR CREEK Central City, Clear Creek OU5 Study Area Boundary","CENTRAL CITY, CLEAR CREEK",252409.011256,"COD980717557",1
"14",0,321585.883089,2,"AIR FORCE PLANT PJKS Approximate PJKS Boundary","AIR FORCE PLANT PJKS",502.26546149,"CO7570090038",1
"15",0,343517.40271,2,"DENVER RADIUM SITE Denver Radium Site Boundary","DENVER RADIUM SITE",330.98895505,"COD980716955",1
"16",0,350957.832245,3,"LOWRY LANDFILL Lowry Landfill Superfund Site","LOWRY LANDFILL",508.91070926,"COD980499248",1
